ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1301,Sri Wahyuni Agustiani,F,21.0,147.0,47.0,Indonesia,INA,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Silver
1698,Khadzhimurat Magomedovich Akkayev,M,19.0,178.0,105.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
1698,Khadzhimurat Magomedovich Akkayev,M,23.0,178.0,105.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
2306,Ruslan Vladimirovich Albegov,M,24.0,192.0,156.0,Russia,RUS,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
2483,Rumen Aleksandrov,M,20.0,176.0,89.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
2511,Vasily Ivanovich Alekseyev,M,30.0,185.0,160.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
2511,Vasily Ivanovich Alekseyev,M,34.0,185.0,160.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
3854,Paul Edward Anderson,M,24.0,178.0,141.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Heavyweight,Gold
4013,Kenkichi Ando,M,26.0,154.0,59.0,Japan,JPN,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Bantamweight,Bronze
4449,Sajjad Anoushiravani Hamlabad,M,28.0,192.0,105.0,Iran,IRI,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
4763,Reyhan Arabacolu,M,21.0,170.0,77.0,Turkey,TUR,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middleweight,Bronze
5327,Israil Magomedgireyevich Arsamakov,M,26.0,169.0,85.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
5391,Sedat Artu,M,28.0,162.0,56.0,Turkey,TUR,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Bantamweight,Bronze
5432,Andrey Nikolayevich Aryamnov,M,20.0,172.0,105.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Heavyweight,Gold
5466,Giorgi Asanidze,M,25.0,173.0,85.0,Georgia,GEO,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
5466,Giorgi Asanidze,M,28.0,173.0,85.0,Georgia,GEO,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
5979,Apti Khamzatovich Aukhadov,M,19.0,178.0,85.0,Russia,RUS,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
6638,Pter Baczak,M,24.0,171.0,84.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
6638,Pter Baczak,M,28.0,171.0,84.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
7094,Kroly Bakos,M,25.0,171.0,75.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Middleweight,Bronze
8525,Waldemar Romuald Baszanowski,M,29.0,165.0,65.5,Poland,POL,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Lightweight,Gold
8525,Waldemar Romuald Baszanowski,M,33.0,165.0,65.5,Poland,POL,1968 Summer,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Lightweight,Gold
8657,Anna Yevgenyevna Batyushko,F,22.0,164.0,69.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Middleweight,Silver
9147,Petre Becheru,M,24.0,164.0,83.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
9401,Andreas Behm,M,29.0,164.0,73.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Lightweight,Bronze
10012,Jnos Benedek,M,27.0,159.0,60.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Featherweight,Bronze
10352,Dmitry Vladimirovich Berestov,M,24.0,180.0,105.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Heavyweight,Gold
10448,"Isaac ""Ike"" Berger",M,20.0,157.0,59.5,United States,USA,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Featherweight,Gold
10448,"Isaac ""Ike"" Berger",M,23.0,157.0,59.5,United States,USA,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Featherweight,Silver
10448,"Isaac ""Ike"" Berger",M,27.0,157.0,59.5,United States,USA,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Featherweight,Silver
11059,"Hansjrg ""Hans"" Bettembourg",M,28.0,172.0,93.0,Sweden,SWE,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
11381,Volodymyr Mykolaiovych Bieliaiev,M,28.0,165.0,83.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
11469,Yordan Bikov,M,19.0,168.0,75.0,Bulgaria,BUL,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Middleweight,Gold
12036,Blagoy Blagoev,M,23.0,168.0,82.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
12119,Alberto Blanco Fernndez,M,30.0,173.0,90.0,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Heavyweight I,Bronze
12527,Jan Bochenek,M,28.0,176.0,78.0,Poland,POL,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
12702,Galabin Pepov Boevski,M,25.0,175.0,69.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Lightweight,Gold
13229,Bartomiej Wojciech Bonk,M,27.0,181.0,105.0,Poland,POL,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Heavyweight,Bronze
13230,Gerd Bonk,M,21.0,187.0,146.5,East Germany,GDR,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
13230,Gerd Bonk,M,24.0,187.0,146.5,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
14496,"James Edward ""Jim"" Bradford",M,23.0,183.0,116.5,United States,USA,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Heavyweight,Silver
14496,"James Edward ""Jim"" Bradford",M,31.0,183.0,116.5,United States,USA,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Heavyweight,Silver
16831,Viktor Georgiyevich Bushuyev,M,27.0,162.0,67.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Lightweight,Gold
17233,Ernest Cadine,M,26.0,167.0,82.0,France,FRA,1920 Summer,1920,Summer,Antwerpen,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
17593,Ivn Cambar Rodrguez,M,28.0,163.0,77.0,Cuba,CUB,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Middleweight,Bronze
17647,Tullio Camillotti,M,26.0,175.0,98.0,Italy,ITA,1906 Summer,1906,Summer,Athina,Weightlifting,"Weightlifting Men's Unlimited, One Hand",Silver
17995,Cao Lei,F,24.0,168.0,75.0,China,CHN,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Heavyweight,Gold
18349,Guy Albert Carlton,M,30.0,183.0,110.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Heavyweight II,Bronze
18678,Oliver Caruso,M,22.0,178.0,83.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
20144,Andrey Ivanovich Chemerkin,M,24.0,183.0,170.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
20144,Andrey Ivanovich Chemerkin,M,28.0,183.0,170.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
20278,Chen Wei-Ling,F,26.0,149.0,47.0,Chinese Taipei,TPE,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Flyweight,Bronze
20280,Chen Weiqiang,M,26.0,156.0,60.0,China,CHN,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Featherweight,Gold
20293,Chen Xiaomin,F,23.0,158.0,63.0,China,CHN,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Middleweight,Gold
20295,Chen Xiexia,F,25.0,152.0,49.0,China,CHN,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Flyweight,Gold
20310,Chen Yanqing,F,25.0,158.0,58.0,China,CHN,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Lightweight,Gold
20310,Chen Yanqing,F,29.0,158.0,58.0,China,CHN,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Lightweight,Gold
20560,Gennady Timofeyevich Chetin,M,29.0,151.0,56.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Bantamweight,Bronze
20708,Yevgeny Aleksandrovich Chigishev,M,29.0,187.0,126.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
20796,Zulfiya Salakharovna Chinshanlo,F,19.0,155.0,53.0,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Featherweight,Gold
20957,Choe Hyo-Sim,F,22.0,159.0,63.0,North Korea,PRK,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Middleweight,Silver
21106,Velichko Cholakov,M,22.0,205.0,105.0,Bulgaria,BUL,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
21573,Traian Ioachim Cihrean,M,23.0,157.0,52.0,Romania,ROU,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Flyweight,Bronze
21635,Dragomir A. Cioroslan,M,30.0,170.0,75.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Middleweight,Bronze
21667,Anatolii Crcu,M,23.0,178.0,94.0,Moldova,MDA,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
22190,Roxana Daniela Coco,F,23.0,158.0,68.0,Romania,ROU,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Light-Heavyweight,Silver
22232,Andrzej Bogdan Cofalik,M,27.0,170.0,81.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
24528,Kazimierz Czarnecki,M,28.0,165.0,67.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Lightweight,Bronze
24571,Grzegorz Cziura,M,24.0,157.0,55.5,Poland,POL,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Bantamweight,Silver
24754,Vencelas Dabaya Tientcheu,M,27.0,167.0,69.0,France,FRA,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Lightweight,Silver
25747,Gevorg Davtyan,M,25.0,165.0,77.0,Armenia,ARM,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middleweight,Bronze
25764,Nataliya Anatolivna Davydova,F,23.0,165.0,70.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Light-Heavyweight,Bronze
26896,Jean Lon Debuf,M,32.0,175.0,85.0,France,FRA,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
26940,Edmond Albert Dcottignies,M,30.0,171.0,66.0,France,FRA,1924 Summer,1924,Summer,Paris,Weightlifting,Weightlifting Men's Lightweight,Gold
27440,Tadeusz Demboczyk,M,24.0,155.0,56.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Bantamweight,Bronze
27461,Jacques Demers,M,24.0,163.0,75.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Middleweight,Silver
27574,Deng Wei,F,23.0,159.0,63.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Middleweight,Gold
27672,"Joseph Nicholas ""Joe"" DePietro",M,34.0,140.0,56.0,United States,USA,1948 Summer,1948,Summer,London,Weightlifting,Weightlifting Men's Bantamweight,Gold
28251,Hidilyn Diaz,F,25.0,149.0,53.0,Philippines,PHI,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Featherweight,Silver
28400,Aurimas Didbalis,M,25.0,172.0,94.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
28558,Pyrros Dimas,M,20.0,173.0,83.0,Greece,GRE,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
28558,Pyrros Dimas,M,24.0,173.0,83.0,Greece,GRE,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
28558,Pyrros Dimas,M,28.0,173.0,83.0,Greece,GRE,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
28558,Pyrros Dimas,M,32.0,173.0,83.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
28602,Stefan Dimitrov,M,22.0,159.0,59.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Featherweight,Silver
